Date,Temperature,Humidity,Precipitation,WindSpeed,LakeLevel
2025-04-01,12.3,78,1.2,15.4,356.2
2025-04-02,13.1,80,0.0,10.3,356.3
2025-04-03,15.6,75,0.5,8.7,356.5
2025-04-04,16.4,73,0.0,12.1,356.7
2025-04-05,14.2,76,1.8,11.4,356.4
2025-04-06,13.8,82,5.2,9.8,356.0
2025-04-07,11.5,85,10.3,7.2,355.6
2025-04-08,10.9,87,3.1,6.9,355.7
2025-04-09,12.6,81,0.0,8.5,355.8
2025-04-10,14.7,77,0.0,10.1,355.9
2025-04-11,13.2,81,0.0,8.6,355.8
2025-04-12,14.9,78,0.0,8.6,355.7
2025-04-13,14.7,78,0.0,10.2,355.6
2025-04-14,13.4,78,0.0,10.5,355.5
2025-04-15,12.7,81,0.6,11.9,355.4
2025-04-16,10.7,79,6.8,11.9,355.3
2025-04-17,12.5,83,0.0,13.0,355.2
2025-04-18,12.2,84,0.0,14.8,355.1
2025-04-19,11.5,80,0.0,15.1,354.9
2025-04-20,10.6,75,0.0,15.1,354.7
2025-04-21,10.2,74,0.0,15.7,354.5
2025-04-22,9.1,79,0.0,16.7,354.3
2025-04-23,7.4,84,5.0,18.0,354.2
2025-04-24,6.2,82,0.0,17.2,354.0
2025-04-25,5.3,87,7.1,18.2,353.9
2025-04-26,6.3,87,0.0,18.5,353.7
2025-04-27,6.4,82,0.5,20.2,353.5
2025-04-28,7.0,86,0.0,18.6,353.3
2025-04-29,8.5,88,0.0,16.8,353.1
2025-04-30,8.1,87,0.0,17.3,352.9
2025-05-01,9.1,86,0.0,17.0,352.7
2025-05-02,10.6,83,6.3,16.3,352.6
2025-05-03,12.5,79,7.2,15.1,352.5
2025-05-04,14.4,81,9.9,16.6,352.4
2025-05-05,15.4,83,2.1,15.9,352.3
2025-05-06,13.5,88,0.0,16.7,352.1
2025-05-07,12.2,91,0.0,17.2,351.9
2025-05-08,13.4,96,0.0,15.2,351.7
2025-05-09,13.3,92,9.1,15.6,351.6
2025-05-10,12.2,90,0.0,17.0,351.4
2025-05-11,13.7,92,0.0,15.5,351.2
2025-05-12,15.1,92,0.0,16.5,351.0
2025-05-13,14.4,94,0.0,15.2,350.8
2025-05-14,15.6,90,0.0,13.6,350.7
2025-05-15,17.3,92,0.7,11.6,350.6
2025-05-16,15.8,89,2.5,12.0,350.5
2025-05-17,14.5,93,0.0,10.9,350.4
2025-05-18,16.4,91,4.7,9.7,350.3
2025-05-19,18.3,86,5.4,9.2,350.3
2025-05-20,18.6,87,0.0,11.0,350.2
